Results,Reach,Frequency,Cost per results,Budget,Amount spent (GBP),Clicks (all),CTR (all),CPC (all) (GBP),Impressions,"CPM (cost per 1,000 impressions) (GBP)",Link clicks,CPC (cost per link click) (GBP),CTR (link click-through rate),Website purchases,Website purchases conversion value,Website purchase ROAS (return on advertising spend),Button clicks
105,77905,1.182132084,2.871238095,187.2,301.48,2570,2.790626968,0.117307393,92094,3.273611745,2126,0.141806209,2.308510869,105,10927.2,36.24519039,482
77,59035,1.204590497,3.91012987,187.2,301.08,1846,2.595868547,0.163098592,71113,4.233825039,1580,0.190556962,2.221815983,77,8525.3,28.31573004,319
49,48718,1.254115522,6.135102041,187.2,300.62,1485,2.430521457,0.20243771,61098,4.92029199,1223,0.245805397,2.001702183,49,5955.55,19.81089083,261
66,66413,1.259858763,3.957727273,187.2,261.21,1703,2.035352751,0.153382267,83671,3.121870182,1342,0.194642325,1.603900993,66,9079.1,34.75785766,342
47,64472,1.320945527,5.499787234,187.2,258.49,1373,1.612183552,0.18826657,85164,3.035202668,1099,0.235204732,1.290451364,47,4602,17.80339665,257
50,56409,1.243223599,5.0346,187.2,251.73,1090,1.554278544,0.230944954,70129,3.58952787,843,0.2986121,1.20207047,50,4686,18.61518293,182
35,44678,1.309503559,7.521142857,187.2,263.24,766,1.309267426,0.343655352,58506,4.499367586,609,0.432249589,1.04091888,35,4037.3,15.33695487,122
20,49258,1.269682082,12.5745,187.2,251.49,775,1.23916728,0.324503226,62542,4.021137795,574,0.438135889,0.91778325,20,2025.7,8.054793431,142
17,50301,1.303473092,15.19294118,187.2,258.28,811,1.236921575,0.318471023,65566,3.9392368,600,0.430466667,0.91510844,17,1164.8,4.509834288,165
35,50621,1.300902787,7.873142857,187.2,275.56,927,1.407680743,0.297259978,65853,4.184471474,703,0.39197724,1.067529194,35,3959.4,14.36855857,179
32,63000,1.20331746,8.1590625,187.2,261.09,981,1.294041605,0.266146789,75809,3.444050179,701,0.372453638,0.924692319,32,4217.9,16.15496572,201
22,50684,1.227211743,11.28363636,187.2,248.24,639,1.02733119,0.388482003,62200,3.990996785,470,0.528170213,0.75562701,22,2329.2,9.382855301,135
27,52204,1.334208107,9.742222222,187.2,263.04,763,1.095461659,0.34474443,69651,3.77654305,562,0.468042705,0.806880016,27,2447.8,9.305809002,150
14,53662,1.270116656,18.79071429,187.2,263.07,759,1.113605352,0.346600791,68157,3.859764954,571,0.460718039,0.837771616,14,1679.9,6.385752841,153
17,51242,1.300964053,15.30294118,187.2,260.15,772,1.158046322,0.336981865,66664,3.902406096,572,0.454807692,0.858034321,17,1235.9,4.750720738,150
19,41380,1.267762204,9.408421053,187.2,178.76,555,1.057948913,0.32209009,52460,3.407548608,358,0.499329609,0.682424705,19,2018.7,11.29279481,103
14,40598,1.257869846,12.12071429,187.2,169.69,603,1.180801692,0.281409619,51067,3.322889537,431,0.393712297,0.843989269,14,1899.2,11.19217396,130
17,47676,1.269527645,11.04941176,187.2,187.84,768,1.268876185,0.244583333,60526,3.10345967,562,0.334234875,0.928526584,17,2044.4,10.88373083,155
12,40861,1.234747069,15.12583333,187.2,181.51,530,1.050482627,0.342471698,50453,3.597605692,420,0.432166667,0.832457931,12,1199.35,6.607624924,114
